datetime_utc,j_conds,j_dewptm,j_fog,j_hail,j_heatindexm,j_hum,j_precipm,j_pressurem,j_rain,j_snow,j_tempm,j_thunder,j_tornado,j_vism,j_wdird,j_wdire,j_wgustm,j_windchillm,j_wspdm,target_o_tempm
20160206-12:00,,6,0,0,,10,,1009,0,0,33,0,0,10,,,,,0.0,
20160915-03:00,Mostly Cloudy,23,0,0,,84,,1008,0,0,25,0,0,4,,,,,0.0,
20160915-12:00,Mostly Cloudy,23,0,0,,74,,1002,0,0,27,0,0,10,,,,,,
20170621-12:00,,21,0,0,,39,,999,0,0,33,0,0,10,0,North,,,,
20170719-03:00,,24,0,0,,90,,1001,0,0,25,0,0,4,270,West,,,,
20170719-12:00,Mostly Cloudy,24,0,0,,65,,995,0,0,30,0,0,10,0,North,,,0.0,
20170809-03:00,Partly Cloudy,22,0,0,,80,,1006,0,0,25,0,0,4,270,West,,,,
20170809-12:00,Mostly Cloudy,23,0,0,,64,,1003,0,0,28,0,0,10,,,,,,
20170924-03:00,,22,0,0,,86,,1011,0,0,25,0,0,4,270,West,,,,
20170924-12:00,,23,0,0,,61,,1007,0,0,29,0,0,10,180,South,,,0.0,
20171018-12:00,Clear,21,0,0,,49,,1005,0,0,30,0,0,10,180,South,,,,
20171110-12:00,,15,0,0,,35,,1003,0,0,28,0,0,10,0,North,,,,
20171117-03:00,,11,0,0,,60,,1014,0,0,17,0,0,4,270,West,,,,
20171128-03:00,Clear,12,0,0,,63,,1016,0,0,17,0,0,4,270,West,,,,
20171128-12:00,,16,0,0,,44,,1009,0,0,26,0,0,10,0,North,,,,
20180403-03:00,,13,0,0,,30,,1010,0,0,27,0,0,4,,,,,0.0,
