datetime_utc,j_conds,j_dewptm,j_fog,j_hail,j_heatindexm,j_hum,j_precipm,j_pressurem,j_rain,j_snow,j_tempm,j_thunder,j_tornado,j_vism,j_wdird,j_wdire,j_wgustm,j_windchillm,j_wspdm,target_o_tempm
20151207-12:00,,15,0,0,,36,,1011,0,0,27,0,0,10,,,,,0.0,27
20151208-03:00,,9,0,0,,49,,1016,0,0,16,0,0,4,,,,,0.0,27
20151208-12:00,,14,0,0,,34,,1012,0,0,27,0,0,10,,,,,0.0,27
20151209-03:00,Clear,10,0,0,,55,,1016,0,0,17,0,0,4,,,,,0.0,29
20151209-12:00,,14,0,0,,33,,1011,0,0,27,0,0,10,,,,,0.0,29
20151210-03:00,,12,0,0,,60,,1016,0,0,18,0,0,4,,,,,0.0,29
20151210-12:00,,18,0,0,,39,,1008,0,0,29,0,0,10,,,,,0.0,29
20151211-03:00,,16,0,0,,73,,1012,0,0,19,0,0,10,,,,,0.0,27
20151211-12:00,,15,0,0,,32,,1008,0,0,29,0,0,10,,,,,0.0,27
20151212-03:00,,13,0,0,,66,,1013,0,0,18,0,0,4,,,,,0.0,29
20151212-12:00,,12,0,0,,29,,1008,0,0,27,0,0,10,,,,,0.0,29
20151213-03:00,,10,0,0,,43,,1014,0,0,19,0,0,4,,,,,0.0,28
20151213-12:00,,20,0,0,,49,,1008,0,0,29,0,0,10,,,,,0.0,28
20151214-03:00,,12,0,0,,51,,1014,0,0,20,0,0,4,,,,,0.0,28
20151214-12:00,,15,0,0,,34,,,0,0,28,0,0,10,,,,,0.0,28
20151215-03:00,,12,0,0,,62,,1016,0,0,18,0,0,4,,,,,0.0,29
20151215-12:00,,16,0,0,,36,,1010,0,0,28,0,0,10,,,,,0.0,29
20151216-03:00,,11,0,0,,56,,1015,0,0,18,0,0,4,,,,,0.0,28
20151216-12:00,,15,0,0,,31,,1008,0,0,29,0,0,10,,,,,0.0,28
20151217-03:00,,10,0,0,,54,,1016,0,0,17,0,0,4,,,,,0.0,26
20151217-12:00,,10,0,0,,22,,1012,0,0,28,0,0,10,,,,,0.0,26
20151218-03:00,,6,0,0,,44,,1018,0,0,15,0,0,4,,,,,0.0,28
20151218-12:00,,13,0,0,,34,,1012,0,0,26,0,0,10,,,,,0.0,28
20151219-03:00,,8,0,0,,60,,1019,0,0,14,0,0,4,,,,,0.0,29
20151219-12:00,,17,0,0,,39,,1012,0,0,28,0,0,10,,,,,0.0,29
20151220-03:00,,15,0,0,,78,,1017,0,0,18,0,0,4,,,,,0.0,28
20151220-12:00,,16,0,0,,35,,1011,0,0,29,0,0,10,,,,,0.0,28
20151221-03:00,,12,0,0,,63,,1015,0,0,17,0,0,4,,,,,0.0,26
20151221-12:00,,16,0,0,,38,,1011,0,0,28,0,0,10,,,,,0.0,26
20151222-03:00,,8,0,0,,58,,1017,0,0,14,0,0,4,,,,,0.0,25
20151222-12:00,,14,0,0,,36,,1012,0,0,26,0,0,10,,,,,0.0,25
20151223-03:00,Clear,8,0,0,,62,,1019,0,0,13,0,0,4,,,,,0.0,24
20151223-12:00,Clear,22,0,0,,76,,1014,0,0,25,0,0,10,,,,,0.0,24
20151224-03:00,,6,0,0,,55,,1020,0,0,12,0,0,4,,,,,0.0,13
20151224-12:00,Clear,20,0,0,,74,,1014,0,0,24,0,0,10,,,,,0.0,13
20151225-03:00,,3,0,0,,40,,1023,0,0,13,0,0,4,,,,,0.0,24
20151226-03:00,,5,0,0,,62,,1022,0,0,10,0,0,4,,,,,0.0,27
20151226-12:00,,13,0,0,,39,,1016,0,0,24,0,0,10,,,,,0.0,27
20151227-03:00,,4,0,0,,46,,1024,0,0,12,0,0,4,,,,,0.0,30
20151227-12:00,,5,0,0,,14,,1015,0,0,27,0,0,10,,,,,0.0,30
